name	isolate	host	country	date	SOURCE	latitude	longitude	coordinate_loc	general_comment	representative	sliding_window	GARD	phylogeography
KJ473811.1	BtRf-JL2012	Rhinolophus ferrumequinum	Jilin	2012	nan	43.22913974	126.9370081	Jilin	nan	N	N	N	N
MT726045.1	PREDICT/PRD-0038/AABSMF	Rhinolophus sp.	Rwanda	2011-09-27	10.1093/ve/veab007	-1.8737527023949927	29.621260535733963	Rwanda	nan	N	N	N	N
JX993987.1	Rp/Shaanxi2011	Rhinolophus pusillus	Shaanxi	2011-09	10.3201/eid1906.121648	36.02900378	109.643279	Shaanxi	nan	Y	N	N	N
KC881005.1	RsSHC014	Rhinolophus sinicus	Yunnan	2011-04-17	10.1038/nature12711	24.883105430318807	102.82153645198404	Kunming	nan	N	N	N	N
KF569996.1	LYRa11	Rhinolophus affinis	Yunnan	2011	10.1128/JVI.00631-14	25.25125189	99.11107516	Baoshan, Yunnan	nan	Y	N	N	N
JX993988.1	Cp/Yunnan2011	Chaerephon plicata	Yunnan	2011	10.3201/eid1906.121648	24.26621094	101.4905298	Yunnan	nan	N	N	N	N
EPI_ISL_852604	RshSTT182	Rhinolophus shameli	Cambodia	2010-12-06	10.1101/2021.01.26.428212	13.72259968	106.25267209999998	Steung Treng Province	nan	N	Y	N	Y
EPI_ISL_852605	RshSTT200	Rhinolophus shameli	Cambodia	2010-12-06	10.1101/2021.01.26.428212	13.72259968	106.25267209999998	Steung Treng Province	nan	Y	N	N	N
NC_014470.1	BM48-31	Rhinolophus blasii	Bulgaria	2008	10.1128/JVI.00650-10	42.090717655816704	27.67733227813969	Strandzha Nature Park	nan	Y	N	N	N
GQ153548.1	HKU3-13	Rhinolophus sinicus	Guangdong	2007-11-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
KY352407.1	BtKY72	Rhinolophus sp.	Kenya	2007-08	10.1128/MRA.00548-19	0.3802214649993059	37.76283048316015	Kenya	nan	Y	N	N	N
GQ153547.1	HKU3-12	Rhinolophus sinicus	Guangdong	2007-05-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153546.1	HKU3-11	Rhinolophus sinicus	Guangdong	2007-03-07	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153544.1	HKU3-9	Rhinolophus sinicus	Guangdong	2006-08-28	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153545.1	HKU3-10	Rhinolophus sinicus	Guangdong	2006-08-28	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153543.1	HKU3-8	Rhinolophus sinicus	Guangdong	2006-02-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153542.1	HKU3-7	Rhinolophus sinicus	Guangdong	2006-02-15	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
FJ588686.1	Rs672	Rhinolophus sinicus	Guizhou	2006	10.1099/vir.0.016378-0	27.527048807109463	107.59901736825704	Guizhou	nan	N	N	N	N
GQ153541.1	HKU3-6	Rhinolophus sinicus	Guangdong	2005-12-16	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153540.1	HKU3-5	Rhinolophus sinicus	Guangdong	2005-09-20	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
GQ153539.1	HKU3-4	Rhinolophus sinicus	Guangdong	2005-09-20	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
DQ084200.1	HKU3-3	Rhinolophus sinicus	Guangdong	2005-03-17	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
DQ084199.1	HKU3-2	Rhinolophus sinicus	Guangdong	2005-02-24	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	N	N	N	N
DQ022305.2	HKU3-1	Rhinolophus sinicus	Guangdong	2005-02-17	10.1128/JVI.02219-09	22.3334297	114.1770884	Hong Kong	nan	Y	N	N	N
DQ071615.1	Rp3	Rhinolophus pearsoni	Guangxi	2004-12	10.1126/science.1118391	22.859655983680145	108.35581145802244	Nanning	nan	N	N	N	N
DQ412043.1	Rm1	Rhinolophus macrotis	Hubei	2004-11	10.1126/science.1118391	30.693192888459222	111.29423882047676	Yichang	nan	N	N	N	N
DQ412042.1	Rf1	Rhinolophus ferrumequinum	Hubei	2004-11	10.1126/science.1118391	30.693192888459222	111.29423882047676	Yichang	nan	Y	N	N	N
DQ648857.1	BtCoV/279/2005	Rhinolophus macrotis	Hubei	2004	10.1128/JVI.00697-06	31.695111423993936	111.07961660868963	Hubei	nan	N	N	N	N
AY394995.1	SARS-CoV	Homo sapiens	Guangdong	2002-12	10.1126/science.1092002	23.18938968023	113.22208821094604	Guangzhou	nan	Y	Y	N	N
